# component.no	component.size	component.weight	usedFreqThreshold
1	3	29	0
2	3	28	0
3	2	26	0
4	2	26	0
5	2	22	0
6	2	22	0
7	2	21	0
8	2	21	0
9	2	21	0
10	2	20	0
11	2	20	0
12	2	20	0
13	2	20	0
14	2	20	0
15	2	19	0
16	2	19	0
17	2	19	0
18	2	19	0
19	1	19	0
20	1	19	0
21	1	19	0
22	2	18	0
23	2	17	0
24	1	13	0
25	1	13	0
26	1	12	0
27	1	12	0
28	1	12	0
29	1	11	0
30	1	11	0
31	1	11	0
32	1	11	0
33	1	11	0
34	1	11	0
35	1	11	0
36	1	11	0
37	1	11	0
38	1	10	0
39	1	10	0
40	1	10	0
41	1	10	0
42	1	10	0
43	1	10	0
44	1	10	0
45	1	10	0
46	1	10	0
47	1	10	0
48	1	10	0
49	1	10	0
50	1	10	0
51	1	10	0
52	1	10	0
53	1	10	0
54	1	10	0
55	1	10	0
56	1	10	0
57	1	9	0
58	1	9	0
